Date,Site,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Arrival_Time,Departure_Time,Lat_deg,Long_deg,Wind_speed_knots,Wave_Ht_ft,Sky,Secchi_Depth_m,Temp_C,SpCond_uScm-1,BeamAtten_m-1,Transmiss_pct,DO_mgL-1,PAR_uEcm-2s-1,Turbidity_NTU,Particulate_Microcystin_ugL-1,Dissolved_Microcystin_ugL-1,Extracted_PC_ugL-1,Extracted_CHLa_ugL-1,Total_cyanobacteria_genes_copiesmL-1,mycE_genes_copiesmL-1
6/21/2022,WE13,8.917,0.75,Surface,9:47,10:04,41.74241667,-83.13675,9.913584,0.656168,clear,1.25,21.58029,268.4994,1.88807,62.37741,7.73343,1331.083,4.15,bdl,0.13,2,3.4775,,
6/21/2022,WE13,,8.1,Bottom,,,,,,,,,21.22991429,262.1798571,2.992395238,47.57010476,7.114919048,11.42427619,ns,bdl,0.19,bdl,1.976,,
6/21/2022,WE16,5.901,0.75,Surface,10:25,10:38,41.65795,-83.14586667,5.83152,0.656168,clear,2.25,22.33348636,265.9228636,1.184236364,74.37466364,6.902286364,352.3695455,3.79,bdl,0.23,bdl,3.289,,
7/6/2022,WE2,5.669,0.75,Surface,12:34,12:48,41.76331667,-83.32946667,13.60688,1.9685,overcast,2.5,24.205485,307.4911,2.65712,59.09765,7.556125,695.3595,4,0.44,bdl,nd,11.58,127889.1271,25.8365177
7/6/2022,WE2,,4.6,Bottom,,,,,,,,,24.51744286,305.0831429,1.060957143,76.70307143,7.200090476,21.04809524,ns,0.35,bdl,4.46,13.72,ns,ns
7/6/2022,WE4,8.376,0.75,Surface,8:50,9:04,41.82625,-83.19425,13.023728,1.31234,overcast,3.5,24.125892,289.457,0.67148,84.546704,7.133016,116.8864,1.19,0.12,0.13,1.93,5.16,16001.47506,31.53504532
7/6/2022,WE6,2.934,0.75,Surface,11:32,11:47,41.70545,-83.38233333,13.60688,1.64042,overcast,1.25,25.120875,408.5172,3.52444,41.65278,7.9546,136.3495,7.91,0.14,bdl,6.88,56.94,793259.5361,133.413976
7/6/2022,WE8,4.77,0.75,Surface,7:58,8:20,41.83475,-83.35818333,13.023728,0.984252,overcast,2.5,24.98416154,305.6403846,0.812561539,81.62119231,7.178930769,49.29953846,2.44,0.23,0.13,2.29,4.06,48425.14988,21.178045
7/6/2022,WE8,,3.9,Bottom,,,,,,,,,24.9891,305.6018182,0.771672727,82.4557,6.724690909,6.328627273,ns,0.21,0.11,1.55,3.09,ns,ns
7/6/2022,WE9,2.889,0.75,Surface,11:55,12:13,41.71735,-83.42265,11.66304,1.64042,overcast,1,25.09052222,412.7829444,8.357,13.28779444,6.698838889,278.8024444,13.8,0.71,0.16,1.34,33.54,1193111.572,256.4823131
