"","Depth_category","Temp","DO","MC","Chla","PC"
"151","Surface",24.19705,7.283941667,0.4,6.41,NA
"152","Surface",24.09303704,7.574514815,0.44,136.5,NA
"153","Surface",24.577335,7.332125,0.3,79.35,NA
"154","Bottom",24.63961111,7.396994444,0.49,85.36,NA
"155","Surface",24.60454815,7.790540741,0.57,156.16,NA
"156","Surface",23.98599167,7.080095833,0.31,47.5,NA
"157","Bottom",23.989908,6.455116,0.36,48.59,NA
"158","Surface",23.10275833,7.133883333,0.26,52.89,45.94
"159","Bottom",23.15507273,6.777263636,0.37,51.63,47.18
"160","Surface",23.16714762,7.022504762,0.12,5.16,0.23
"161","Surface",22.39678889,7.596133333,0.38,115.05,54.51
"162","Surface",23.08880952,6.16437619,0.36,69.13,55.45
"163","Bottom",23.43097692,6.068892308,0.66,75.66,37.94
"164","Surface",22.4746875,7.32436875,0.65,96.48,47.4
"165","Surface",22.68993182,6.115922727,0.45,67.96,49.19
"166","Bottom",23.15866667,6.026128571,0.39,69.18,48.06
"167","Surface",23.49757619,7.453657143,0.19,26.26,13.38
"168","Bottom",23.53821667,7.143425,0.23,24.77,16.5
"169","Surface",23.18522143,7.212485714,0.31,29.38,10.82
"170","Surface",22.6454,7.784844444,0.28,55.48,38.29
"171","Bottom",22.63587031,7.25479375,0.3,49.43,32.69
"172","Surface",23.08672692,7.4395,0.24,24.51,14.56
"173","Surface",22.2378625,6.753383333,0.35,106.28,83.75
"174","Surface",23.503945,7.288265,0.35,78.98,91.02
"175","Bottom",23.52355238,6.23567619,0.66,77.37,97.97
"176","Surface",22.90380385,6.618465385,0.31,112.13,87.01
"177","Surface",22.74502222,6.987672222,0.24,30.42,9.85
"178","Bottom",22.80500476,6.197861905,0.25,30.03,11.38
"179","Surface",23.1028027,7.409767568,0.13,28.28,16.48
"180","Bottom",23.20313,7.4424975,0.12,27.5,12.55
"181","Surface",23.11931429,6.951446429,0.18,13.91,2.99
"182","Surface",23.308412,7.76974,0.42,23.21,7.54
"183","Bottom",22.35906667,7.273004167,0.33,29.97,3.98
"184","Surface",22.5031,7.850415789,0.34,36.4,23.92
"185","Surface",22.66571071,7.884721429,0.32,54.89,58.46
"186","Surface",22.165896,7.152416,0.52,64.11,31.04
"187","Bottom",22.14083462,5.522834615,0.43,62.3,36.37
"188","Surface",22.64764286,7.795075,0.44,94.82,63.25
"189","Surface",22.706175,7.204841667,0.28,19.11,3.51
"190","Bottom",23.31993929,6.526003571,0.34,21,2.04
